sentence,matches
ويتوقع ان يستغل بعض المجموعات النيابية الجلسة من اجل »تصفية الحسابات«، كما قال بعض النواب، مع خصومهم في الحكومة، ويعتبر وزير النفط الدكتور عادل الصبيح المرشح الاول للانتقاد من قبل »التكتل الشعبي«، خصوصاً من النائبين مسلم البراك واحمد السعدون. وكذلك يتوقع تعرض وزير الاشغال فهد الميع ووزير الصحة محمد الجارالله للانتقاد على خلفية الكارثة.,"['هذه سياسة الحكومة.', 'وحث بعض النواب الإسرائيليين نتنياهو على طرد ليبرمان من الحكومة.', 'وقال وزير الصحة السعودي، د.', '""النظام اليمني يحاول استغلال الحرب على الارهاب من اجل القضاء على خصومه عبر اتهامهم بالارهاب في الشمال والجنوب""                      محمد عبد السلام الناطق باسم الحوثيين                  بيد ان المتمردين الحوثيين ينفون اي صلة لهم بعملية الاختطاف اذ قال المتحدث باسمهم محمد عبدالسلام في اتصال مع وكالة الانباء الفرنسية: ""الخطف ليس من عاداتنا ولا من شيمنا ولا هو من اسلوبنا"" و""اتهامنا لا يمت للواقع بصلة"".', 'وتلعب البطولة في مرحلة المجموعات بنظام الدوري من دور واحد ، ويتأهل المنتخبان صاحبا المركز الأول في كل مجموعة إلى دور الـ 16 الذي يلعب بنظام خروج المغلوب ولذلك لا تقتصر الحسابات على فرق المجموعة بل على المنتخبات التي سيواجهها الفريق المتأهل في بقية الأدوار.']"
واعتبر شعراوي ان الفاعليات التي أظهرت مقاومة لمنظمة التجارة الدولية في اجتماعات دافوس وسياتل وجنوى جاءت بمثابة »دليل قوي وفاعل على إمكان مواجهة محاولات الرأسمالية العالمية للسيطرة على الشعوب وهو ما يقتضي درس هذه التجارب وتطويرها لحماية استقلال الجنوب وتحقيق تطلعاته في التنمية والتقدم والرفاهية«.,"['تجربة مصر                  وقال رشيد إن مصر من بين تلك الدول  التي تتخذ هذه الإجراءات الإصلاحية خلال السنوات الخمس الماضية، وحسنت درجة تنافسية منتجاتها، لكنه قال إن مصر لا تزال على الطريق لتحقيق التنافسية بالمستوى العالمي الأكمل، مشيرا إلى أن تقدما مماثلا حدث في معظم الدول النامية التي حققت نموا اقثتصاديا مثل الصين والهند والبرازيل وجنوب أفريقيا وتركيا.', 'وقال علي أصغر سلطانية مبعوث ايران لدى الوكالة الدولية للطاقة الذرية إن الحزمة ستقدم الى الولايات المتحدة وروسيا وبريطانيا والصين وفرنسا وألمانيا قبل  اجتماعات  الجمعية العامة للامم المتحدة في وقت لاحق من هذا الشهر.', 'وأضافت أنه جاء في الرسالة ايضا ان الولايات ستتبنى مبادرة جديدة  لمساعدة اليمن  في مواجهة ""التحديات التي يواجهها في مجال التنمية وجهود الاصلاح""  بالتعاون مع صندوق النقد الدولي والبنك الدولي والدول المانحة ومجلس التعاول الخليجي.', 'ويقول مراسل بي بي سي في بغداد خضير حسين تطرح الحركة نفسها كقوة وطنية من شأنها ان تخلق نوعا من التوازن على الساحة السياسية العراقية في مواجهة التحزب الطائفي والعرقي على حد وصفها.وقال مراسلنا إن التحالف الجديد يسعى على مايبدو إلى منافسة ائتلاف دولة القانون بزعامة رئيس الوزراء العراقي نوري المالكي.', 'علي الصراف                ان العملية الانتخابية عمل إيجابي ونحن على أبواب عصر الديمقراطية في العراق، وهناك دول مجاورة لا تريد لنا الديمقراطية فهي ضد مصالحهم وبالتالي فانهم يثيرون النزاعات الطائفية في العراق وهو الأمر الذي يعارضه كل العراقيين الذين يريدون العيش في وفاق وديمقراطية، ان هذه الدول المجاورة تخشى عدوى الديمقراطية.']"
"وارتدى المتظاهرون قمصانا سوداء كتب عليها ""حق العودة مقدس"" وطالبوا الوفد المفاوض في كامب ديفيد بالتمسك بقرار رقم 194 الصادر عن الجمعية العامة للامم المتحدة والذي يضمن حق العودة والتعويض.","['وقد حمل المتظاهرون لافتات كتب عليها ""لا تنازل للأتراك"".', 'وقال برنامج الاغذية العالمي التابع للامم المتحدة انه لم يستطع تقديم الطعام سوى لنحو عشرة الاف نازح فقط الشهر الماضي مقابل 95 الفا في يوليو.', 'ونسبت وكالة انترفاكس الروسية الى متحدث عن وزارة الخارجية الروسية اليه قوله ان ""ما قامت به روسيا والولايات المتحدة وفرنسا مجرد تأكيد العروض المتفق عليها والتي قدمتها الوكالة الدولية للطاقة الذرية"".', 'وقال برنامج الاغذية العالمي التابع للامم المتحدة انه لم يستطع تقديم الطعام سوى لنحو عشرة آلاف نازح فقط الشهر الماضي مقابل 95 الفا في تموز/يوليو الماضي.', 'مبعوث جديد                  وكان الأمين العام للأمم المتحدة بان كي مون قد عين الشهر الماضي المصري هاني عبد العزيز على رأس بعثة المنظمة الدولية في الصحراء الغربية.']"
** الرد السوري ما هو الرد السوري المحتمل، والرد العربي أيضاً.,"['الا ان الصبان قال ان المملكة العربية السعودية راضية.', 'التشدد السياسي والتشدد المتسم بالعنف احدها.', 'كما ندد كل من الاردن والامارات العربية المتحدة بهذه الحوادث.', 'وواصل أن حراس كروبي لم يردوا على مصادر النيران.', 'والهدف المعلن هو المساعدة في بناء أركان الدولة الفلسطينية المنشودة.']"
في المنستير,"['في تقريرها اليوم.', 'في السجن.', 'وفي الختام أفرج عني.""', '""انه شيء فظيع.', 'اسمه فيصل.']"
كشف د. يوسف بطرس غالي وزير التجارة الخارجية عن أنه يتم حاليا بحث عقد اتفاقية للتكامل الاقتصادي بين مصر والسعودية وجنوب أفريقيا تكون نواة لتعاون صناعي إقليمي يشمل الشرق الأوسط وأفريقيا، ويضم مجموعة من الدول الأخرى، وذلك في مجالات صناعات الغزل والنسيج والسيارات ووسائل النقل.,"['س: لندع الحديث عن الشرق الأوسط الآن.', '""نحن نرغب بتعاون يمكن أن يحدد شكل المنطقة""                       هوشيار زيباري، وزير الخارجية العراقي                   يُشار إلى أن وزراء بارزين من كلا البلدين كانوا قد حضروا الجلسة الافتتاحية للمؤتمر الذي سيستمر وراء أبواب مغلقة لمدة يومين ويرمي إلى تعزيز التعاون بين البلدين، وبشكل رئيسي في المجال الاقتصادي.', 'وصرح وزير الخارجية الجزائري مراد مدلسي للبي بي سي "" ان القادة الافارقة لاحظوا بكثير من الرضا حصول تقدم في العديد من النزاعات في افريقيا مثل النزاع في منطقة البحيرات الكبرى، والوضع في ساحل العاج، والاتفاق بين السودان وتشاد ، فيما عبروا عن قلقهم الكبير من استمرار التوتر في مناطق أخرى كمدغشقر والصومال والسودان"".', '/>                           الرئيسية          الشرق الأوسط   \t\t  العالم   \t\t  شارك برأيك   \t\t  اقتصاد وأعمال   \t\t  منوعات  \t \t\t  علوم وتكنولوجيا   \t\t  رياضة   \t\t  راديو وتلفزيون                  اتفاق لنقل الغاز بين تركيا والاتحاد الأوروبي                تراجعت تركيا عن مطلبها بشراء 15 في المئة من الغاز الأوروبي نظير عبور هذا الغاز للأراضي التركية وفقا لصفقة أنبوب الغاز نابوكو.', '/>                           الرئيسية          الشرق الأوسط   \t\t  العالم   \t\t  شارك برأيك   \t\t  اقتصاد وأعمال   \t\t  منوعات  \t \t\t  علوم وتكنولوجيا   \t\t  رياضة   \t\t  راديو وتلفزيون                  ابو الغيط يعرب عن رغبة مصر في حل قضية دارفور                قال وزير الخارجية المصري احمد ابو الغيط السبت ان بلاده تريد المساعدة في ايجاد مخرج سلمي للنزاع المسلح في دارفور، وذلك اثناء محادثات مع مسؤولين في الحركات المسلحة الاقليم.']"
أكد التجار أن قيام الشركات بخفض الطاقة الإنتاجية لديها أدى إلى عدم توفير كافة احتياجات الأسواق وأصبح حجم الطلب مرتفعاً عن حجم المعروض من الأسمنت مما تسبب في زيادة الأسعار.,"['وورد في تقرير الخبير الأممي أن السلطات تمنع النساء دون سن 49 من ممارسة النشاطات التجارية وأن بعض الأسواق العامة قد أغلقت، مما أدى إلى وقوع صدامات بين النساء المشتغلات بالتجارة والسلطات.', 'ويتابع """"تتفاقم المصاعب إلى أعلى درجاتها في المسائل التي هي على أكبر قدر من الأهمية، اي عند دراسة احتياطات النفط في الدول الأعضاء في منظمة الدول المصدرة للنفط (الأوبك).', 'وألمح مسؤولون في جهاز الاستخبارات الداخلية البريطانية (إم آي 5) إلى أن المعلومات المتوافرة عن عبد المطلب لم تكن كافية لإخضاعه للمراقبة.', 'ويحذر التقرير من احتمال أن تؤدي الأزمة الاقتصادية الحالية إلى مزيد من الارتفاع في معدلات السمنة بسبب ارتفاع أسعار الأغذية المفيدة.', 'وتبدو هذه الظاهرة للوهلة الأولى إيجابية ولكنها قد تساهم في تقليص النمو مع انخفاض أرباح الشركات ودفع المستهلكين لتأجيل عمليات الشراء مما يؤدي إلى تخفيض الإنتاج وبالتالي الأجور.']"
"غير أن هويدي لاحظ أن مؤتمر الوطني ""قدم جمال مبارك بطريقة شرعية باعتباره الرجل الذي يتبنى فكر الإصلاح"".","['الا ان الوزير مليباند قال في تصريح رسمي إن الحكم الصادر بحق رسام ""غير مبرر بالمرة.""', 'غريغ  جانامان الطالب الذي قاد المشروع اعتبر التحدي مثيرا للاهتمام باعتباره يخدم  شريحة من الأشخاص ""هم جديرون باهتمامنا"".', 'وحذر أوباما من أنه يرى مؤشرات جديدة للسلوك المالي الخطر الذي كاد يؤدي إلى الانهيار المالي.', 'وقال الخطيب إن الضابط الذي يشتبه في أنه ضرب كريشان قد اعتقل وسيحاكم في محكمة خاصة بالشرطة.', 'ونفي مبارك في حوارات عديدة سابقة وجود نية لتوريث الحكم لنجله، جمال، الذي ينظر اليه كثيرون على انه المرشح الفعلي للمنصب.']"
تسلم الشيخ زايد بن سلطان ال نهيان رئيس دولة الامارات العربية المتحدة اليوم السبت رسالة من نظيره الايرانى محمد خاتمى تتعلق بتطورات الاوضاع فى المنطقة والتعاون المشترك بين البلدين، حسبما ذكرت وكالة انباء الامارات.,"['وقام بمهمة التحكيم في المباراة هيئة التحكيم من دولة الامارات العربية المتحدة.', 'وتحدث الحمادي بمناسبة اصدار رئيس دولة الامارات العربية المتحدة وحاكم ابو ظبي، الشيخ خليفة بن زايد آل نهيان، قانون انشاء مؤسسة الطاقة النووية.', 'وكانت القضية قد حظيت بقدر كبير من المتابعة والاهتمام، ليس فقط لأن الشيخ عيسى هو الأخ غير الشقيق لرئيس دولة الإمارات العربية المتحدة، الشيخ خليفة بن زايد آل نهيان وابن رئيس الدولة الراحل، الشيخ زايد بن سلطان آل نهيان، بل أيضا بسبب محتويات شريط التعذيب.', 'فقد دشن حاكم دبي الشيخ محمد بن راشد آل مكتوم البرج وأطلق عليه اسم رئيس دولة الإمارات العربية المتحدة وحاكم أبوظبي الشيخ خليفة بن زايد آل نهيان بدلا من ""برج دبي"" الاسم الذي كان يحمله منذ الاعلان عن بنائه قبل سنوات.', 'وقالت ""سبأ"" ان بتريوس سلم الرئيس اليمني رسالة من الرئيس باراك اوباما ""تتعلق بالعلاقات الثنائية ومجالات التعاون المشترك بين البلدين الصديقين ومنها  التعاون في المجال الامني ومكافحة الارهاب والقرصنة"".']"
واعلن المتحدث باسم الكنيست غيورا بوردس ان الجلسة قد تعقد في الثامن والعشرين من الشهر الجاري.,"['وقال ناطق باسم جامعة القاهرة إن الدراسة في الجامعة ستبدأ في السادس والعشرين من الشهر الجاري.', 'وقال سليم الجبوري، المتحدث باسم الجبهة: &#34;إن جبهة التوافق العراقي وبعض الكتل السياسية لن تقبل بأن تتبدل مقاعد الموصل وصلاح الدين نزولا، وأن تتبدل محافظات أخرى صعودا، بناءا على اتفاقات سياسية جرت بين أطراف اتفقت في التصويت على هذا البديل بعد قبول النقض.&#34;               وكان الهاشمي قد أعلن في الثامن عشر من الشهر الجاري نقضه للقانون بصيغته الأولية وطالب بزيادة عدد المقاعد التعويضية المخصصة للأقليات والمقيمين في الخارج من 5 إلى 15 بالمائة.', 'وكانت وزارة الخارجية اعلنت في وقت سابق ان كلينتون سترافق اوباما في زيارته  الى روسيا من السادس الى الثامن من يولي الجاري.', 'ومن المقرر ان يحضر الرئيس الامريكي اوباما قمة كوبنهاجن في الثامن عشر من هذا الشهر كما يتوقع حضور الرئيس الروسي ميدييف.', 'وكانت القوات العراقية قد تسلمت رسميا مهام الامن في المدن العراقية من القوات الامريكية الشهر الماضي.']"
"روما 15-8 (اف ب)- افتتح البابا يوحنا بولس الثاني عصر اليوم الثلاثاء في روما ايام الشبيبة العالمية ال15 طالبا منهم ""خدمة المسيح والحرية"".","['ب.', 'ب.', 'ب.""', 'اليوم في بغداد.', 'اليوم في بغداد.']"
كما أطلع المسئولون تونغ فى وقت سابق صباح اليوم على عمل فريق استجابة متعدد التخصصات فى مختلف المجالات من بينها الإجراءات الخاصة بتعقب الاتصال بالمرضى واجراءات التنظيف والتطهير داخل المجتمع .,"['اليوم يوم عمل طويل.', 'اليوم يوم عمل طويل.', 'كما شددت من الإجراءات الأمنية في مطاراتها.', 'وقد احتفظ المسلحون بالرهائن لمدة 17 ساعة قبل ان تتدخل القوات الخاصة الباكستانية وتقتحم المقر في الساعات الاولى من فجر الاحد.', 'وفي وقت سابق أفادت الأنباء الواردة من اليمن بتصاعد التوتر في محافظة صعدة بعد اشتباكات وغارات جوية قام بها الطيران اليمني على مواقع للمتمردين الحوثيين.']"
وتتضمن المفاوضات إمكانية الدخول في مشروعات استثمارية عقارية مشتركة بين بنك الإسكان والتعمير وبنوك ومستثمرين من دول مجلس التعاون الخليجي خاصة السعودية والكويت والإمارات باعتبار أن هناك استثمارات ضخمة لهذه الدول في مجال العقارات المصري.,"['يذكر أن الدول الخمسة الأخرى المكونة لمجلس التعاون الخليجي وهي السعودية والكويت والبحرين وقطر وعمان قد أعربت عن رغبتها في بناء مفاعل نووية لتلبية احتياجاتها من الطاقة كي تدع النفط والغاز للتصدير.', 'كما شهدت باقي دول مجلس التعاون، أي السعودية والإمارات وقطر والبحرين وسلطنة عمان, تراجعا في سعر صرف عملاتها مقابل العملات الرئيسية، وذلك بسبب ارتباطها التام بالدولار.', 'كما دعا جامعة  الدول العربية أن تعمل على وقف &#34;التدهور والعبث بمقدرات الشعبين&#34;، وناشد الموقعون مؤسسات  المجتمع المدني والقيادات الشعبية والمثقفين والكتاب في البلدين أن تعمل على تدارك  الاخطاء التي ارتكبها البعض من هنا وهناك وبحث اليات عمل مشتركة تعيد العلاقات بين  الشعبين إلى سابق عهدها.', 'وينص مشروع القرار الذي يجري التداول بشأنه على ""التنديد بشدة بحظر بناء المآذن"" باعتباره ""من مظاهر كراهية الاسلام ويتعارض بوضوح مع الالتزامات الدولية في مجال حقوق الانسان بشأن حرية الممارسة الدينية"".', 'وأكد  مسؤول ملف المفاوضات الفلسطينية في منظمة التحرير صائب عريقات أن المباحثات بين السلطة الفلسطينية والاتحاد الاوروبي انتقلت من مستوى التشاور الى مستوى التعاون والدعم فيما يتعلق بالتوجه لمجلس الامن الدولي لاستصدار قرار يعترف بحدود الدولة الفلسطينية المستقلة على حدود عام سبعة وستين.']"
وبالفعل، فان المسؤولين الاقتصاديين في الحكومة يطلبون منذ اسابيع عدة اتخاذ اجراءات عاجلة وملموسة تمكن الايرانيين، وخصوصا اولئك الذين يملكون رساميل ضخمة في الخارج، من العودة الى البلاد للمشاركة في اعادة اعمارها.,"['هذه سياسة الحكومة.', 'الا ان الحكومة الارتيرية تنفي ان يكون افراد المنتخب في عداد المفقودين، رغم ان الاتحاد الارتيري لكرة القدم اكد لرئيس اتحاد (كيكافا) نيكولاس موسونيه بأن اللاعبين الاريتريين لم يعودوا الى بلدهم.', 'ونفت الحكومة الارتيرية بادئ الامر ان يكون افراد المنتخب في عداد المفقودين، رغم ان الاتحاد الارتيري لكرة القدم اكد لرئيس اتحاد (كيكافا) نيكولاس موسونيه بأن اللاعبين الاريتريين لم يعودوا الى بلدهم.', 'وكانت الوقفة الاولى لهذه السفن تتم بعد عدة اسابيع في السنغال، وتشير القصة الى ان الكثيرين من اللبنانيين كانوا يعتقدون لدى وصولهم الى السنغال انهم وصلوا الى البرازيل فيغادرون السفينة ويبقون في البلاد.', 'ومن المتوقع ان يكون اضراب اليوم الاربعاء الاوسع منذ اعلنت الحكومة الاشتراكية الجديدة عن اجراء تخفيضات واسعة في الانفاق الحكومي  بغية خفض المديونية الحكومية والعجز في  الميزانية.']"
وأضاف أن باكستان ومصر سوف تتعاونان لزيادة القدرة الإنتاجية لمصانع الصلب في باكستان وتحقيق تكامل بين البلدين من خلال الاستفادة المشتركة من خامتي البليت والحديد الخام، إضافة إلى تطوير العمل في مجال حجر الجرانيت والرخام.,"['وأضاف أن باكستان أكدت وفاته.', 'بداية الخلاف               وأضاف المراسل قائلا: ""الخلاف بين البلدين، والذي بدأ عام 2002، هو واحد من الخلافات الاقتصادية القليلة التي سمحت منظمة التجارية العالمية أن تتخذ فيها إجراءات انتقامية ومعاملة بالمثل من قبل البلدان المعنية.""', 'وأضاف السيناتور السابق ""ناقشنا التزاماتنا المشتركة حيال السلام الشامل""، مشيرا إلى أن هذا الهدف لا يتحقق إلا ""بحل الدولتين، حيث يعيش الفلسطينيون والاسرائيليون جنبا إلى جنب في أمن وسلام"".', 'وهو يرى أن السبب الرئيسي في هذا هو تزايد الهجمات التي تشنها الطائرات الأمريكية بدون طيار خلال العام الماضي في المناطق القبلية داخل حدود باكستان القريبة من أفغانستان.', 'وجاء في تقرير مفوضية التقييم والتقدير أن مسألة الموارد النفطية وتخطيط صناعتها بعد الاستفتاء في حاجة إلى مزيد من الشفافية، إلى جانب المشاكل الخطيرة التي ما زالت تعاني مسألة رسم الحدود بين الشمال والجنوب.']"
اول جلسة عمل للبرلمان الانتقالي في الصومال,"['لماذا الانتظار سبعة عشر عاما لنشر المقال.', 'في المساء، لم ننس محاولة الاتصال بالمتمردين.', 'في المساء، لم ننس محاولة الاتصال بالمتمردين.', 'وتجري الاعتقالات في اليوم التالي.', 'ويهيمن الحزبان على مختلف مناحي الحياة في  الاقليم.']"
